Iterations,Total_loss,Avg_loss,Learning rate,Time
1,2044.98938,2044.98938,0.0,11.232946
2,2044.297607,2044.920166,0.0,11.606857
3,2039.364746,2044.364624,0.0,11.915481
4,2042.869629,2044.215088,0.0,12.623228
5,2042.733154,2044.066895,0.0,11.697469
6,2042.141479,2043.87439,0.0,11.518407
7,2053.834717,2044.870361,0.0,11.60123
8,2045.114136,2044.894775,0.0,11.547562
9,2041.972168,2044.602539,0.0,11.241843
10,2046.16687,2044.759033,0.0,11.521384
11,2048.045654,2045.087646,0.0,11.498416
12,2040.654663,2044.644409,0.0,11.185243
13,2039.842529,2044.164185,0.0,11.296605
14,2043.792969,2044.127075,0.0,11.336981
15,2042.374146,2043.951782,0.0,11.402295
16,2045.636841,2044.120239,0.0,11.405962
17,2039.428711,2043.651123,0.0,10.996856
18,2045.911865,2043.877197,0.0,11.596051
19,2051.880371,2044.67749,0.0,11.743319
20,2047.368164,2044.946533,0.0,11.486007
21,2045.727173,2045.024658,0.0,11.348873
22,2049.177002,2045.439941,0.0,11.510837
23,2050.402344,2045.936157,0.0,11.67217
24,2040.060059,2045.348511,0.0,11.242662
25,2047.19104,2045.532715,0.0,11.67817
26,2045.296387,2045.509033,0.0,11.619088
27,2041.352051,2045.093384,0.0,11.433712
28,2037.183228,2044.302368,0.0,11.137418
29,2042.671021,2044.139282,0.0,11.642146
30,2042.392334,2043.9646,0.0,11.620315
31,2034.079712,2042.976074,0.0,11.144188
32,2042.4823,2042.926758,0.0,11.765612
33,2034.38855,2042.072998,0.0,11.328685
34,2039.983154,2041.864014,0.0,11.582812
35,2031.624146,2040.840088,0.0,11.49508
36,2032.565063,2040.012573,0.0,11.406717
37,2027.764038,2038.78772,0.0,11.478472
38,2024.396484,2037.348633,0.0,11.301885
39,2028.53772,2036.467529,0.0,11.683878
40,2025.739746,2035.394775,0.0,11.634075
41,2023.695312,2034.224854,0.0,11.723012
42,2013.550415,2032.157471,0.0,11.455565
43,2007.725464,2029.714233,0.0,11.515176
44,2009.206055,2027.663452,0.0,11.941023
45,2006.976562,2025.594727,0.0,11.728721
46,1991.740112,2022.209229,0.0,11.517072
47,1982.800049,2018.268311,0.0,11.382242
48,1987.779419,2015.219482,0.0,11.569981
49,1977.953369,2011.49292,0.0,11.608449
