Iterations,Total_loss,Avg_loss,Learning rate,Time
1,2134.378906,2134.378906,0.0,4.811468
2,2132.300293,2134.171143,0.0,4.782065
3,2143.328125,2135.086914,0.0,4.912714
4,2139.43042,2135.52124,0.0,4.632044
5,2134.475342,2135.416748,0.0,4.917373
6,2129.526855,2134.827637,0.0,4.336824
7,2138.970459,2135.241943,0.0,4.762919
8,2133.151855,2135.032959,0.0,4.483925
9,2136.627441,2135.192383,0.0,4.947588
10,2137.514893,2135.424561,0.0,4.611931
11,2148.745117,2136.756592,0.0,5.179341
12,2139.840332,2137.064941,0.0,4.840322
13,2139.447998,2137.303223,0.0,4.844252
14,2129.23584,2136.496582,0.0,4.231552
15,2141.651855,2137.012207,0.0,4.65927
16,2141.839111,2137.494873,0.0,5.763397
17,2142.020752,2137.94751,0.0,5.073162
18,2138.359863,2137.98877,0.0,4.69137
19,2139.162598,2138.106201,0.0,5.070439
20,2140.312988,2138.326904,0.0,4.849094
21,2141.567871,2138.650879,0.0,4.78649
22,2144.19165,2139.205078,0.0,4.779393
23,2138.545166,2139.13916,0.0,4.747838
24,2136.228027,2138.848145,0.0,4.652034
25,2136.830811,2138.646484,0.0,4.567711
26,2125.462402,2137.328125,0.0,4.308902
27,2139.083984,2137.503662,0.0,4.744617
28,2140.87915,2137.841309,0.0,4.827478
29,2134.546387,2137.511719,0.0,4.754533
30,2131.963135,2136.956787,0.0,4.603394
31,2128.664307,2136.127441,0.0,4.55855
32,2135.406982,2136.05542,0.0,4.768693
33,2129.585938,2135.408447,0.0,4.465778
34,2140.864258,2135.954102,0.0,4.885966
35,2122.309326,2134.5896,0.0,4.352945
36,2129.310303,2134.061768,0.0,4.75504
37,2122.836182,2132.939209,0.0,4.468706
38,2125.437012,2132.188965,0.0,4.665437
39,2126.411377,2131.611328,0.0,4.631515
40,2120.942627,2130.544434,0.0,4.558661
41,2114.317627,2128.921875,0.0,4.400223
42,2127.904297,2128.820068,0.0,4.929602
43,2110.654297,2127.003418,0.0,4.589725
44,2115.881836,2125.891357,0.0,4.685604
45,2104.568848,2123.759033,0.0,4.44608
46,2105.868408,2121.969971,0.0,4.699779
47,2103.153564,2120.088379,0.0,4.732957
48,2112.876709,2119.367188,0.0,4.991633
49,2096.292236,2117.05957,0.0,4.812146
50,2079.20874,2113.274414,0.0,4.146251
51,2079.143799,2109.861328,0.0,4.361953
52,2075.748779,2106.450195,0.0,4.670768
53,2071.335938,2102.938721,0.0,4.482398
54,2062.999268,2098.944824,0.0,4.440799
55,2066.877441,2095.738037,0.0,4.815899
56,2058.156006,2091.979736,0.0,4.748985
57,2050.526611,2087.834473,0.0,4.819233
58,2031.273926,2082.178467,0.0,4.508845
59,2030.734131,2077.033936,0.0,4.654888
60,2015.643677,2070.89502,0.0,4.560656
61,2009.805176,2064.786133,0.0,4.530956
62,2000.324463,2058.339844,0.0,4.735203
63,1999.026855,2052.408447,0.0,4.928362
64,1982.747437,2045.442383,0.0,4.867558
65,1960.142944,2036.912476,0.0,4.6221
66,1946.071655,2027.828369,0.0,4.537176
67,1941.355347,2019.18103,0.0,4.904566
68,1932.825439,2010.54541,0.0,4.982065
69,1903.155518,1999.806396,0.0,4.747285
70,1889.929932,1988.818726,0.0,4.586403
71,1873.837402,1977.320557,0.0,4.828798
72,1858.143921,1965.402832,0.0,4.748929
73,1836.959473,1952.558472,0.0,4.863953
74,1821.190186,1939.421631,0.0,5.062216
75,1792.092896,1924.688721,0.0,4.858194
