,Iterations,Avg_mAP,car,bus,motorcycle,Avg_IOU
4,200,0.36,1.07,0.02,0.01,0.0
6,300,13.35,38.96,0.11,0.97,37.8
8,400,19.82,44.48,7.69,7.29,25.45
10,500,26.4,43.07,27.37,8.76,23.01
12,600,28.55,40.91,35.48,9.27,23.25
14,700,43.37,59.33,56.2,14.59,26.72
16,800,32.04,23.56,56.29,16.25,17.94
18,900,43.75,50.95,57.39,22.92,28.66
0,1000,33.75,24.29,63.91,13.05,17.53
5,2000,45.63,49.8,67.62,19.45,24.78
7,3000,63.77,79.94,71.69,39.69,37.13
9,4000,70.41,84.75,80.66,45.81,39.58
11,5000,68.01,79.9,83.99,40.15,37.42
13,6000,72.57,82.92,87.46,47.32,37.93
15,7000,77.53,85.75,92.54,54.3,42.92
17,8000,78.05,87.59,88.53,58.04,42.79
19,9000,77.01,84.5,91.52,55.01,42.15
1,10000,79.13,90.18,93.19,54.01,44.44
2,11000,83.59,89.5,95.9,65.36,46.95
3,12000,84.3,89.26,94.86,68.78,47.69
