Iteration,Loss
1,703.403748
2,703.497009
3,703.488403
4,703.448486
5,703.615540
6,703.588745
7,703.497070
8,703.708191
9,703.652405
10,703.778809
11,703.707092
12,703.666443
13,703.782837
14,703.864746
15,703.878662
16,703.836182
17,703.784485
18,703.806335
19,703.751282
20,703.660217
21,663.016785
22,626.540894
23,593.716187
24,564.132568
25,537.488525
26,513.635254
27,492.020874
28,472.583252
29,455.151672
30,439.439911
31,443.438080
32,447.124603
33,450.342590
34,453.272461
35,455.813293
36,458.124878
37,460.181885
38,462.029938
39,463.729126
40,465.129578
41,443.231018
42,423.561096
43,405.838287
44,389.987244
45,375.620941
46,362.818512
47,351.151031
48,340.546631
49,331.021820
50,322.386444
51,352.285553
52,378.896301
53,402.913971
54,424.349701
55,443.690643
56,461.118896
57,476.742157
58,490.670044
59,503.083191
60,514.282227
61,487.289520
62,462.702454
63,440.579071
64,420.648956
65,402.691864
66,386.444519
67,371.947571
68,358.780884
69,346.918457
70,336.070435
71,326.366882
72,317.432007
73,309.522217
74,302.418213
75,295.778259
76,289.838104
77,284.461700
78,279.454865
79,275.063934
80,271.146301
81,267.342987
82,263.940308
83,260.788605
84,257.878784
85,255.210190
86,252.717667
87,250.423553
88,248.239044
89,246.199310
90,244.241547
91,247.019775
92,249.304688
93,251.326096
94,253.132935
95,254.442993
96,255.548462
97,256.442169
98,257.131805
99,257.510254
100,257.553040
101,253.145142
102,249.155777
103,245.405884
104,241.773499
105,238.406494
106,235.261887
107,232.148987
108,229.121674
109,226.274353
110,223.503967
111,224.858505
112,225.865097
113,226.501419
114,226.950546
115,227.101074
116,227.002090
117,226.639481
118,226.040176
119,225.214020
120,224.038208
121,226.611023
122,228.599350
123,229.976212
124,230.803741
125,231.040649
126,230.978424
127,230.366226
128,229.253036
129,227.877380
130,226.382492
131,218.098801
132,210.469391
133,203.284027
134,196.474503
135,189.954437
136,183.871109
137,178.098145
138,172.481339
139,167.159225
140,162.136185
141,171.032425
142,178.397690
143,184.251694
144,188.631699
145,191.805908
146,193.736725
147,194.576706
148,194.635117
149,193.712402
150,191.932541
151,185.376221
152,178.972214
153,172.411636
154,165.936066
155,159.768814
156,153.457230
157,147.418152
158,141.406281
159,135.453156
160,129.713867
161,123.195557
162,116.963455
163,111.065300
164,105.451950
165,100.141052
166,95.048592
167,90.267029
168,85.796310
169,81.434067
170,77.495476
171,77.033401
172,76.474136
173,75.490707
174,74.144524
175,72.619041
176,70.786263
177,68.823151
178,67.019447
179,64.871277
180,62.666775
181,59.886890
182,57.151886
183,54.526611
184,52.097206
185,49.777958
186,47.539639
187,45.215771
188,42.902946
189,40.737766
190,38.633427
191,36.572639
192,34.556248
193,32.635983
194,30.962498
195,29.338926
196,27.796738
197,26.290113
198,24.976826
199,23.726082
200,22.522375
201,21.069256
202,19.873955
203,18.636337
204,17.618002
205,16.648371
206,15.823195
207,14.989579
208,14.208970
209,13.561317
210,13.030561
211,12.722782
212,12.527524
213,12.275250
214,12.170188
215,11.911863
216,11.561816
217,11.312846
218,10.948836
219,10.687796
220,10.469038
221,10.233906
222,9.981088
223,9.730949
224,9.595690
225,9.384768
226,9.153661
227,8.998502
228,8.902830
229,8.749237
230,8.491518
231,8.270540
232,7.915807
233,7.640895
234,7.452148
235,7.329936
236,7.202456
237,7.205197
238,7.065582
239,6.899585
240,6.677794
241,6.660430
242,6.555355
243,6.472955
244,6.346472
245,6.273429
246,6.220104
247,6.064497
248,5.946491
